parent_node,child_node,relation_type
Node105,Node141,R
Node60,Node141,E
Node12,Node159,A
Node159,Node160,A
Node160,Node161,A
Node161,Node166,E
Node58,Node166,R
Node96,Node164,E
Node132,Node164,R
Node105,Node167,R
Node50,Node167,E
Node69,Node139,E
Node136,Node139,R
Node139,Node61,O
Node52,Node134,E
Node78,Node134,R
Node134,Node131,O
Node131,Node169,M
Node169,Node170,M
Node44,Node174,E
Node23,Node174,R
Node70,Node175,R
Node75,Node175,E
Node129,Node163,star
Node163,Node176,R
Node74,Node176,E
Node176,Node177,E
Node160,Node177,R
Node110,Node178,O
Node178,Node179,E
Node78,Node179,R
Node100,Node180,R
Node120,Node180,E
Node26,Node181,E
Node108,Node181,R
Node148,Node182,R
Node148,Node182,E
Node44,Node186,R
Node99,Node186,E
Node50,Node187,E
Node78,Node187,R
Node96,Node189,R
Node133,Node189,E
Node5,Node191,R
Node16,Node191,E
Node85,Node194,R
Node128,Node194,E
Node148,Node142,E
Node83,Node142,R
Node106,Node173,M
Node69,Node197,E
Node143,Node197,R
Node107,Node154,star
Node154,Node151,E
Node70,Node151,R
Node151,Node130,A
Node45,Node198,O
Node198,Node201,O
Node32,Node119,O
Node119,Node203,R
Node49,Node203,E
Node203,Node185,E
Node117,Node185,R
Node185,Node204,A
Node204,Node205,R
Node66,Node205,E
Node119,Node208,E
Node167,Node208,R
Node208,Node209,M
Node209,Node210,O
Node210,Node80,E
Node7,Node80,R
Node38,Node200,A
Node200,Node214,E
Node119,Node214,R
Node214,Node215,A
Node215,Node216,R
Node29,Node216,E
Node216,Node183,A
Node215,Node219,A
Node219,Node220,E
Node210,Node220,R
Node101,Node222,E
Node49,Node222,R
Node179,Node199,M
Node23,Node223,E
Node28,Node223,R
Node223,Node225,E
Node194,Node225,R
Node107,Node226,star
Node18,Node165,star
Node96,Node227,star
Node227,Node228,E
Node136,Node228,R
Node228,Node72,R
Node138,Node72,E
Node72,Node229,O
Node229,Node230,R
Node71,Node230,E
Node230,Node231,O
Node231,Node233,R
Node28,Node233,E
Node17,Node192,R
Node15,Node192,E
Node192,Node153,M
Node101,Node172,star
Node172,Node234,R
Node162,Node234,E
Node99,Node235,E
Node190,Node235,R
Node120,Node237,star
Node103,Node150,E
Node87,Node150,R
Node29,Node190,R
Node203,Node190,E
Node26,Node252,R
Node24,Node252,E
Node252,Node221,A
Node221,Node248,R
Node217,Node248,E
Node248,Node253,R
Node15,Node253,E
Node133,Node254,E
Node15,Node254,R
Node254,Node255,M
Node163,Node256,star
Node256,Node241,R
Node15,Node241,E
Node241,Node212,A
Node212,Node258,A
Node258,Node202,E
Node83,Node202,R
Node202,Node261,R
Node108,Node261,E
Node79,Node262,R
Node191,Node262,E
Node104,Node168,A
Node132,Node263,R
Node49,Node263,E
Node78,Node264,star
Node264,Node260,E
Node239,Node260,R
Node260,Node232,M
Node203,Node244,O
Node244,Node266,R
Node65,Node266,E
Node88,Node267,E
Node102,Node267,R
Node267,Node147,O
Node263,Node268,O
Node3,Node269,A
Node168,Node250,R
Node166,Node250,E
Node219,Node188,A
Node188,Node271,R
Node135,Node271,E
Node271,Node272,E
Node157,Node272,R
Node234,Node184,E
Node56,Node184,R
Node184,Node273,star
Node273,Node274,star
Node274,Node275,R
Node213,Node275,E
Node89,Node277,M
Node57,Node278,R
Node138,Node278,E
Node24,Node279,E
Node230,Node279,R
Node279,Node280,M
Node280,Node281,O
Node100,Node162,E
Node56,Node162,R
Node96,Node282,star
Node282,Node286,E
Node71,Node286,R
Node286,Node195,M
Node252,Node287,A
Node214,Node289,R
Node16,Node289,E
Node122,Node291,E
Node81,Node291,R
Node291,Node292,A
Node292,Node293,R
Node259,Node293,E
Node28,Node294,R
Node61,Node294,E
Node294,Node295,star
Node165,Node297,E
Node75,Node297,R
Node231,Node157,E
Node186,Node157,R
Node157,Node300,E
Node266,Node300,R
Node286,Node301,M
Node5,Node236,A
Node236,Node140,R
Node200,Node140,E
Node93,Node306,E
Node74,Node306,R
Node220,Node308,star
Node308,Node171,star
Node300,Node309,O
Node154,Node310,star
Node25,Node259,O
Node259,Node313,R
Node149,Node313,E
Node313,Node284,M
Node284,Node245,M
Node261,Node316,M
Node92,Node317,A
Node317,Node318,R
Node126,Node318,E
Node204,Node193,R
Node55,Node193,E
Node154,Node320,R
Node222,Node320,E
Node264,Node319,R
Node163,Node319,E
Node43,Node314,O
Node35,Node325,A
Node325,Node326,R
Node219,Node326,E
Node146,Node327,A
Node327,Node328,A
Node328,Node329,R
Node152,Node329,E
Node329,Node330,R
Node44,Node330,E
Node330,Node331,O
Node331,Node332,O
Node332,Node335,E
Node177,Node335,R
Node335,Node152,R
Node182,Node152,E
Node129,Node337,E
Node311,Node337,R
Node241,Node338,A
Node111,Node298,M
Node160,Node285,A
Node95,Node341,R
Node334,Node341,E
Node61,Node304,O
Node304,Node290,O
Node94,Node344,O
Node344,Node345,M
Node345,Node346,M
Node104,Node349,E
Node259,Node349,R
Node187,Node322,M
Node322,Node246,O
Node246,Node350,M
Node141,Node353,R
Node137,Node353,E
Node353,Node213,star
Node49,Node247,star
Node247,Node354,star
Node354,Node355,E
Node7,Node355,R
Node355,Node218,E
Node333,Node218,R
Node218,Node196,A
Node50,Node357,R
Node26,Node357,E
Node111,Node358,M
Node214,Node343,E
Node59,Node343,R
Node105,Node334,E
Node351,Node334,R
Node81,Node363,star
Node131,Node364,O
Node202,Node365,E
Node48,Node365,R
Node365,Node333,O
Node333,Node367,O
Node252,Node371,A
Node371,Node240,R
Node84,Node240,E
Node240,Node372,R
Node247,Node372,E
Node372,Node373,A
Node38,Node321,E
Node74,Node321,R
Node247,Node381,star
Node381,Node382,star
Node149,Node206,star
Node221,Node385,E
Node159,Node385,R
Node385,Node315,star
Node315,Node388,E
Node5,Node388,R
Node388,Node389,M
Node389,Node390,M
Node390,Node312,O
Node312,Node243,E
Node172,Node243,R
Node180,Node392,star
Node392,Node393,star
Node26,Node323,R
Node317,Node323,E
Node138,Node397,star
Node397,Node398,R
Node251,Node398,E
Node398,Node379,star
Node379,Node400,R
Node240,Node400,E
Node400,Node401,R
Node59,Node401,E
Node401,Node402,E
Node87,Node402,R
Node279,Node356,M
Node90,Node404,O
Node404,Node405,M
Node281,Node238,R
Node334,Node238,E
Node238,Node408,M
Node243,Node386,R
Node115,Node386,E
Node386,Node409,R
Node176,Node409,E
Node192,Node410,M
Node410,Node411,M
Node31,Node412,R
Node214,Node412,E
Node59,Node413,O
Node413,Node366,O
Node301,Node414,O
Node414,Node415,R
Node271,Node415,E
Node404,Node374,M
Node90,Node403,O
Node403,Node416,M
Node149,Node422,star
Node422,Node423,star
Node110,Node424,O
Node234,Node426,A
Node426,Node376,R
Node34,Node376,E
Node120,Node418,E
Node217,Node418,R
Node49,Node394,R
Node82,Node394,E
Node394,Node428,R
Node12,Node428,E
Node379,Node430,star
Node430,Node433,R
Node101,Node433,E
Node60,Node434,A
Node434,Node435,E
Node338,Node435,R
Node259,Node360,O
Node97,Node436,A
Node436,Node340,A
Node340,Node375,R
Node177,Node375,E
Node253,Node438,E
Node176,Node438,R
Node438,Node439,O
Node408,Node420,O
Node420,Node283,E
Node76,Node283,R
Node382,Node137,E
Node415,Node137,R
Node137,Node442,R
Node432,Node442,E
Node442,Node288,E
Node38,Node288,R
Node101,Node443,star
Node433,Node444,star
Node444,Node351,star
Node176,Node446,E
Node41,Node446,R
Node161,Node447,A
Node44,Node217,E
Node175,Node217,R
Node266,Node425,E
Node4,Node425,R
Node381,Node450,star
Node450,Node305,E
Node165,Node305,R
Node305,Node299,O
Node299,Node452,M
Node452,Node453,O
Node453,Node455,O
Node196,Node302,E
Node142,Node302,R
Node116,Node395,star
Node395,Node458,E
Node333,Node458,R
Node398,Node377,R
Node248,Node377,E
Node152,Node459,star
Node439,Node461,O
Node461,Node463,O
Node282,Node464,E
Node205,Node464,R
Node379,Node466,E
Node93,Node466,R
Node466,Node467,R
Node419,Node467,E
Node10,Node469,O
Node469,Node471,E
Node449,Node471,R
Node156,Node472,O
Node472,Node384,R
Node163,Node384,E
Node384,Node473,R
Node96,Node473,E
Node213,Node474,E
Node418,Node474,R
Node474,Node454,A
Node454,Node339,R
Node148,Node339,E
Node339,Node475,A
Node221,Node477,R
Node34,Node477,E
Node477,Node478,star
Node478,Node479,R
Node8,Node479,E
Node479,Node437,E
Node15,Node437,R
Node193,Node480,E
Node29,Node480,R
Node216,Node369,R
Node85,Node369,E
Node369,Node307,O
Node13,Node482,R
Node189,Node482,E
Node482,Node483,A
Node483,Node484,A
Node15,Node265,R
Node26,Node265,E
Node265,Node485,O
Node485,Node486,E
Node314,Node486,R
Node285,Node489,R
Node447,Node489,E
Node489,Node490,E
Node386,Node490,R
Node434,Node432,R
Node486,Node432,E
Node432,Node491,O
Node19,Node493,O
Node493,Node495,O
Node84,Node83,R
Node323,Node83,E
Node83,Node352,A
Node327,Node488,A
Node488,Node499,A
Node499,Node342,E
Node140,Node342,R
Node140,Node503,E
Node226,Node503,R
Node340,Node504,A
Node504,Node505,A
Node505,Node507,A
Node507,Node380,R
Node13,Node380,E
Node103,Node441,star
Node459,Node510,E
Node70,Node510,R
Node510,Node511,E
Node174,Node511,R
Node511,Node251,A
Node251,Node239,R
Node502,Node239,E
Node239,Node516,E
Node473,Node516,R
Node35,Node419,A
Node419,Node517,R
Node451,Node517,E
Node201,Node518,M
Node217,Node519,A
Node136,Node521,A
Node521,Node522,R
Node193,Node522,E
Node522,Node523,star
Node523,Node524,star
Node524,Node525,R
Node509,Node525,E
Node12,Node527,R
Node10,Node527,E
Node414,Node528,R
Node16,Node528,E
Node454,Node530,R
Node18,Node530,E
Node12,Node533,R
Node93,Node533,E
Node221,Node494,A
Node494,Node534,E
Node273,Node534,R
Node534,Node535,M
Node49,Node536,R
Node412,Node536,E
Node536,Node537,E
Node243,Node537,R
Node537,Node538,R
Node56,Node538,E
Node332,Node445,R
Node250,Node445,E
Node445,Node540,O
Node345,Node541,M
Node541,Node542,M
Node542,Node543,M
Node214,Node545,E
Node480,Node545,R
Node12,Node547,A
Node247,Node549,star
Node322,Node552,M
Node30,Node276,O
Node210,Node211,O
Node211,Node553,E
Node319,Node553,R
Node327,Node448,E
Node176,Node448,R
Node448,Node557,A
Node411,Node559,M
Node10,Node562,O
Node56,Node565,star
Node565,Node554,star
Node554,Node361,E
Node498,Node361,R
Node361,Node224,E
Node417,Node224,R
Node224,Node526,M
Node526,Node529,M
Node160,Node567,A
Node477,Node570,star
Node570,Node508,star
Node508,Node571,R
Node523,Node571,E
Node81,Node560,star
Node560,Node572,E
Node336,Node572,R
Node467,Node578,A
Node578,Node431,R
Node461,Node431,E
Node431,Node257,R
Node72,Node257,E
Node257,Node580,O
Node330,Node581,R
Node329,Node581,E
Node534,Node583,M
Node254,Node585,O
Node455,Node586,O
Node71,Node587,star
Node164,Node579,R
Node266,Node579,E
Node579,Node591,star
Node591,Node592,E
Node159,Node592,R
Node302,Node593,star
Node593,Node296,R
Node60,Node296,E
Node373,Node595,R
Node564,Node595,E
Node57,Node481,star
Node202,Node597,star
Node490,Node512,M
Node365,Node311,R
Node135,Node311,E
Node311,Node599,star
Node475,Node496,E
Node205,Node496,R
Node494,Node451,R
Node118,Node451,E
Node293,Node602,M
Node28,Node596,R
Node373,Node596,E
Node479,Node603,E
Node511,Node603,R
Node603,Node604,A
Node604,Node427,E
Node127,Node427,R
Node64,Node608,A
Node489,Node613,O
Node613,Node614,M
Node193,Node616,R
Node323,Node616,E
Node23,Node618,A
Node618,Node501,R
Node28,Node501,E
Node501,Node610,star
Node489,Node589,R
Node417,Node589,E
Node271,Node611,star
Node130,Node623,R
Node223,Node623,E
Node397,Node624,R
Node264,Node624,E
Node99,Node622,star
Node622,Node629,R
Node200,Node629,E
Node85,Node630,R
Node50,Node630,E
Node630,Node631,E
Node243,Node631,R
Node631,Node609,star
Node57,Node633,R
Node493,Node633,E
Node633,Node634,M
Node634,Node635,M
Node635,Node636,M
Node305,Node639,E
Node239,Node639,R
Node639,Node242,O
Node452,Node640,O
Node640,Node641,O
Node565,Node509,star
Node509,Node643,E
Node129,Node643,R
Node535,Node644,O
Node644,Node645,O
Node645,Node646,M
Node646,Node544,M
Node213,Node429,star
Node429,Node650,star
Node650,Node651,star
Node651,Node653,E
Node112,Node653,R
Node653,Node520,A
Node520,Node654,R
Node231,Node654,E
Node540,Node606,M
Node606,Node657,M
Node334,Node659,A
Node659,Node569,R
Node335,Node569,E
Node569,Node660,A
Node660,Node661,A
Node64,Node627,A
Node382,Node663,E
Node23,Node663,R
Node366,Node664,M
Node111,Node564,O
Node8,Node669,R
Node4,Node669,E
Node185,Node670,E
Node337,Node670,R
Node670,Node497,R
Node136,Node497,E
Node479,Node671,O
Node193,Node672,star
Node439,Node368,E
Node189,Node368,R
Node368,Node674,E
Node368,Node674,R
Node674,Node563,star
Node73,Node675,E
Node397,Node675,R
Node675,Node642,M
Node642,Node676,O
Node578,Node601,R
Node511,Node601,E
Node601,Node678,M
Node678,Node679,O
Node679,Node680,E
Node396,Node680,R
Node589,Node681,M
Node681,Node577,M
Node59,Node683,E
Node97,Node683,R
Node683,Node684,O
Node684,Node685,O
Node643,Node686,M
Node105,Node476,E
Node539,Node476,R
Node408,Node690,O
Node690,Node691,E
Node579,Node691,R
Node691,Node692,M
Node692,Node694,O
Node694,Node576,O
Node576,Node387,M
Node204,Node695,A
Node146,Node696,E
Node281,Node696,R
Node696,Node697,O
Node659,Node701,E
Node527,Node701,R
Node260,Node688,M
Node508,Node702,E
Node431,Node702,R
Node485,Node628,O
Node628,Node703,E
Node21,Node703,R
Node703,Node704,star
Node704,Node383,E
Node228,Node383,R
Node383,Node705,M
Node697,Node706,E
Node605,Node706,R
Node339,Node707,R
Node186,Node707,E
Node707,Node708,M
Node708,Node712,O
Node611,Node714,E
Node152,Node714,R
Node441,Node716,E
Node239,Node716,R
Node16,Node717,R
Node86,Node717,E
Node717,Node584,E
Node264,Node584,R
Node584,Node558,E
Node100,Node558,R
Node557,Node719,A
Node285,Node720,A
Node720,Node531,E
Node641,Node531,R
Node531,Node457,R
Node294,Node457,E
Node457,Node721,E
Node206,Node721,R
Node721,Node722,M
Node223,Node723,A
Node127,Node727,R
Node73,Node727,E
Node373,Node348,E
Node413,Node348,R
Node348,Node728,R
Node617,Node728,E
Node728,Node729,R
Node38,Node729,E
Node232,Node730,M
Node59,Node734,O
Node734,Node735,E
Node314,Node735,R
Node346,Node738,O
Node325,Node739,E
Node399,Node739,R
Node739,Node740,star
Node740,Node378,R
Node60,Node378,E
Node378,Node742,O
Node742,Node743,M
Node227,Node744,R
Node578,Node744,E
Node516,Node745,E
Node648,Node745,R
Node745,Node746,O
Node145,Node460,O
Node460,Node747,O
Node653,Node487,R
Node22,Node487,E
Node487,Node749,A
Node749,Node751,A
Node194,Node709,E
Node112,Node709,R
Node709,Node612,A
Node373,Node752,A
Node420,Node756,E
Node558,Node756,R
Node756,Node698,R
Node608,Node698,E
Node415,Node757,R
Node135,Node757,E
Node757,Node399,A
Node399,Node758,A
Node526,Node760,M
Node2,Node658,R
Node558,Node658,E
Node378,Node619,O
Node619,Node753,R
Node150,Node753,E
Node753,Node687,R
Node236,Node687,E
Node687,Node763,O
Node763,Node733,M
Node305,Node539,E
Node569,Node539,R
Node539,Node764,A
Node644,Node765,R
Node252,Node765,E
Node444,Node573,R
Node128,Node573,E
Node183,Node767,A
Node767,Node761,E
Node685,Node761,R
Node463,Node769,E
Node223,Node769,R
Node287,Node770,A
Node770,Node771,A
Node771,Node449,E
Node183,Node449,R
Node60,Node775,E
Node485,Node775,R
Node271,Node776,R
